"track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","multiple_artist","top100","rank","Major","Minor","CSharp","FSharp","D","ASharp","GSharp","G","B","A","E","DSharp","F","taylor_swift","bad_bunny","the_weeknd","drake","peso_pluma"
"Softcore","the neighbourhood",1,2018,3,9,3947,12,599770206,33,102,93,0,30,94,57,36,58,5,0,15,3,0,0,"Top 500",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miï¿½ï¿½n","tini, maria becerra",2,2021,4,29,3406,16,596152090,61,23,70,1,0,92,85,92,54,16,0,29,7,1,0,"Top 500",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUFF IT","beyoncï¿",1,2022,7,29,7842,10,595900742,215,88,330,26,23,115,78,64,69,4,0,7,14,0,0,"Top 500",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Knife Talk (with 21 Savage ft. Project Pat)","drake, project pat, 21 savage",3,2021,9,3,5199,0,594482982,45,43,45,0,3,146,85,22,37,13,0,7,30,1,0,"Top 500",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Fair Trade (with Travis Scott)","drake, travis scott",2,2021,9,3,5403,6,593917618,118,116,96,0,3,168,67,29,47,5,0,22,26,1,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Only Love Can Hurt Like This","paloma faith",1,2014,1,1,5148,0,588955257,90,22,365,0,114,91,57,30,89,10,0,33,8,0,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Yandel 150","yandel, feid",2,2022,12,20,3618,38,585695368,47,74,80,14,194,168,78,58,73,5,0,10,7,1,0,"Top 500",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","taylor swift",1,2021,11,12,4635,5,583687007,50,49,30,1,2,93,63,21,52,28,0,9,3,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Toxic","boywithuke",1,2021,9,10,1795,0,582981380,34,23,118,0,NA,180,59,69,61,84,0,46,36,0,0,"Top 500",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"House Of Memories","panic! at the disco",1,2016,1,15,2948,0,582863434,10,2,150,0,0,110,51,48,82,0,0,5,3,0,0,"Top 500",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"California Love - Original Version (Explicit)","dr. dre, 2pac, roger",3,1995,12,28,18773,0,579395142,128,17,NA,0,0,92,77,76,84,3,0,38,4,1,0,"Top 500",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mon Amour - Remix","aitana, zzoilo",2,2020,9,21,3221,2,578207856,67,13,139,0,40,116,75,36,76,12,0,10,10,1,0,"Top 500",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rich Flex","drake, 21 savage",2,2022,11,4,4657,18,573633020,84,84,42,0,23,153,56,42,52,5,0,36,24,1,0,"Top 500",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Atlantis","seafret",1,2015,4,22,3045,6,571386359,43,53,134,1,32,166,40,23,48,5,0,12,3,0,0,"Top 500",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Angels Like You","miley cyrus",1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,67,49,64,10,0,10,3,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
